id,protocolo,status,aceiteInstrucoes,dataCriacao,dataAtualizacao
1,,FINALIZADA,sim,2025-01-07,2025-03-09
2,PRP-2025-000002,FINALIZADA,sim,2025-01-10,2025-03-13
3,PRP-2025-000003,FINALIZADA,sim,2025-01-13,2025-03-17
4,PRP-2025-000004,FINALIZADA,sim,data-invalida,2025-03-21
5,PRP-2025-000005,FINALIZADA,talvez,2025-01-14,2025-03-20
6,PRP-2025-000006,FINALIZADA,sim,2025-01-17,2025-03-24
7,PRP-2025-000007,FINALIZADA,sim,2025-01-20,
8,PRP-2025-000008,STATUS_INVALIDO,sim,2025-01-23,2025-04-01
9,PRP-2025-000008,FINALIZADA,sim,2025-01-26,2025-04-05
10,PRP-2025-000010,FINALIZADA,sim,2025/13/99,2025-04-04
11,PRP-2025-000011,FINALIZADA,,2025-01-27,2025-04-08
12,PRP-2025-000012,FINALIZADA,sim,2025-01-30,2025-04-12
13,PRP-2025-000013,FINALIZADA,sim,2025-02-02,2025-04-16
14,PRP-2025-000014,FINALIZADA,sim,2025-02-05,2025-04-20
15,PRP-2025-000015,FINALIZADA,sim,2025-02-03,2025-04-19
16,PRP-2025-000016,FINALIZADA,sim,2025-02-06,2025-04-23
17,PRP-2025-000017,FINALIZADA,sim,2025-02-09,2025-04-27
18,PRP-2025-000018,finalizada,sim,2025-02-12,2025-05-01
19,PRP-2025-000019,FINALIZADA,sim,2025-02-15,2025-05-05
20,PRP-2025-000020,FINALIZADA,sim,2025-02-13,2025-05-04
21,PRP-2025-000021,FINALIZADA,sim,2025-02-16,2025-05-08
22,PRP-2025-000022,FINALIZADA,sim,2025-02-19,2025-05-12
23,PRP-2025-000023,FINALIZADA,sim,2025-02-22,2025-05-16
24,PRP-2025-000024,FINALIZADA,sim,2025-02-25,2025-05-20
25,PRP-2025-000025,EM ANALISE,sim,2025-02-23,2025-04-24
26,PRP-2025-000026,FINALIZADA,sim,2025-02-26,2025-04-28
27,PRP-2025-000027,FINALIZADA,sim,2025-03-01,2025-05-02
28,PRP-2025-000028,FINALIZADA,sim,2025-03-04,2025-05-06
29,PRP-2025-000029,FINALIZADA,sim,2025-03-07,2025-05-10
30,PRP-2025-000030,FINALIZADA,sim,2025-03-05,2025-05-09
31,PRP-2025-000031,FINALIZADA,sim,2025-03-08,2025-05-13
32,PRP-2025-000032,FINALIZADA,sim,2025-03-11,2025-05-17
33,PRP-2025-000033,em análise,sim,2025-03-14,2025-05-21
