id,protocolo,status,aceiteInstrucoes,dataCriacao,dataAtualizacao
31,PRP-2025-000031,FINALIZADA,true,2025-02-03T09:00:00-03:00,2025-03-20T14:30:00-03:00
32,PRP-2025-000032,FINALIZADA,true,2025-02-12T09:00:00-03:00,2025-03-30T14:30:00-03:00
33,PRP-2025-000033,FINALIZADA,true,2025-03-05T09:00:00-03:00,2025-04-28T14:30:00-03:00
34,PRP-2025-000034,FINALIZADA,true,2025-03-18T09:00:00-03:00,2025-05-05T14:30:00-03:00
35,PRP-2025-000035,FINALIZADA,true,2025-04-02T09:00:00-03:00,2025-05-25T14:30:00-03:00
36,PRP-2025-000036,FINALIZADA,true,2025-04-15T09:00:00-03:00,2025-06-08T14:30:00-03:00
37,PRP-2025-000037,FINALIZADA,true,2025-05-04T09:00:00-03:00,2025-06-25T14:30:00-03:00
38,PRP-2025-000038,FINALIZADA,true,2025-05-17T09:00:00-03:00,2025-07-10T14:30:00-03:00
39,PRP-2025-000039,FINALIZADA,true,2025-06-03T09:00:00-03:00,2025-07-18T14:30:00-03:00
40,PRP-2025-000040,FINALIZADA,true,2025-06-16T09:00:00-03:00,2025-08-05T14:30:00-03:00
41,PRP-2025-000041,FINALIZADA,true,2025-07-05T09:00:00-03:00,2025-08-20T14:30:00-03:00
42,PRP-2025-000042,FINALIZADA,true,2025-07-18T09:00:00-03:00,2025-09-10T14:30:00-03:00
